QID,Prediction
Q1,检查更换，
Q2,是是是，
Q3,是是是是，
Q4,是是是是，
Q5,检查更换，
Q6,检查更换，
Q7,是是是，
Q8,是是是的，
Q9,检查更换，
Q10,检查是是，
Q11,是是是是是是的，
Q12,是是是是的，
Q13,是是是，
Q14,检查更换，
Q15,是是是的，
Q16,是是是的，
Q17,是是是是，
Q18,检查是是，可以
Q19,检查更换，
Q20,是是是是的，
Q21,是是是是的，
Q22,检查更换，
Q23,检查是的，
Q24,是是是是的，
Q25,检查是是，
Q26,是是是是的，
Q27,检查更换，
Q28,是是是的，
Q29,是是是是，
Q30,是是是是的，是的，是的，是的，可以，是的，是的，是的，是的，可以，是的，是的，是的，
Q31,是是是的，
Q32,检查更换，
Q33,是是是是是的，可以，是的，
Q34,是是是是，
Q35,检查更换，
Q36,检查更换，
Q37,是是是是是，
Q38,是是是是，
Q39,检查是是的，
Q40,是是是的，可以，是的，可以，是的，可以，是的，可以，是的，可以，是的，可以，是的，可以，是的，
Q41,检查更换，
Q42,是是是是是，
Q43,检查是是，
Q44,是是是是的，可以，是的，是的，可以，是的，是的，可以，是的，是的，可以，是的，是的，可以，
Q45,是是是是是，
Q46,是是是是是，
Q47,检查更换，
Q48,是是是的，
Q49,是是是是，
Q50,检查更换，
Q51,检查是的，
Q52,检查更换，
Q53,是是是是，
Q54,是是是是的，
Q55,检查更换，
Q56,检查更换，
Q57,是是是是是的，是的，是的，是的，是的，是的，是的，是的，是的，是的，是的，是的，
Q58,是是是，可以，
Q59,检查更换，
Q60,检查是是，
Q61,是是是，
Q62,检查更换，
Q63,是是是是是，
Q64,是是是是，
Q65,检查更换，
Q66,是是是，
Q67,是是是是，
Q68,是是是是，
Q69,检查更换，
Q70,检查更换，
Q71,是是是，
Q72,是是是的，
Q73,检查更换，
Q74,检查是是，
Q75,是是是是是是的，
Q76,是是是是的，
Q77,是是是，
Q78,检查更换，
Q79,是是是的，
Q80,是是是的，
Q81,是是是是，
Q82,检查是是，可以
Q83,检查更换，
Q84,是是是是的，
Q85,是是是是的，
Q86,检查更换，
Q87,检查是的，
Q88,是是是是的，
Q89,检查是是，
Q90,是是是是的，
Q91,检查更换，
Q92,是是是的，
Q93,是是是是，
Q94,是是是是的，是的，是的，是的，可以，是的，是的，是的，是的，可以，是的，是的，是的，
Q95,是是是的，
Q96,检查更换，
Q97,是是是是是的，可以，是的，
Q98,是是是是，
Q99,检查更换，
Q100,检查更换，
Q101,是是是是是，
Q102,是是是是，
Q103,检查是是的，
Q104,是是是的，可以，是的，可以，是的，可以，是的，可以，是的，可以，是的，可以，是的，可以，是的，
Q105,检查更换，
Q106,是是是是是，
Q107,检查是是，
Q108,是是是是的，可以，是的，是的，可以，是的，是的，可以，是的，是的，可以，是的，是的，可以，
Q109,是是是是是，
Q110,是是是是是，
Q111,检查更换，
Q112,是是是的，
Q113,是是是是，
Q114,检查更换，
Q115,检查是的，
Q116,检查更换，
Q117,是是是是，
Q118,是是是是的，
Q119,检查更换，
Q120,检查更换，
Q121,是是是是是的，是的，是的，是的，是的，是的，是的，是的，是的，是的，是的，是的，
Q122,是是是，可以，
Q123,检查更换，
Q124,检查是是，
Q125,是是是，
Q126,检查更换，
Q127,是是是是是，
Q128,是是是是，
Q129,检查更换，
Q130,是是是，
Q131,是是是是，
Q132,是是是是，
Q133,检查更换，
Q134,检查更换，
Q135,是是是，
Q136,是是是的，
Q137,检查更换，
Q138,检查是是，
Q139,是是是是是是的，
Q140,是是是是的，
Q141,是是是，
Q142,检查更换，
Q143,是是是的，
Q144,是是是的，
Q145,是是是是，
Q146,检查是是，可以
Q147,检查更换，
Q148,是是是是的，
Q149,是是是是的，
Q150,检查更换，
Q151,检查是的，
Q152,是是是是的，
Q153,检查是是，
Q154,是是是是的，
Q155,检查更换，
Q156,是是是的，
Q157,是是是是，
Q158,是是是是的，是的，是的，是的，可以，是的，是的，是的，是的，可以，是的，是的，是的，
Q159,是是是的，
Q160,检查更换，
Q161,是是是是是的，可以，是的，
Q162,是是是是，
Q163,检查更换，
Q164,检查更换，
Q165,是是是是是，
Q166,是是是是，
Q167,检查是是的，
Q168,是是是的，可以，是的，可以，是的，可以，是的，可以，是的，可以，是的，可以，是的，可以，是的，
Q169,检查更换，
Q170,是是是是是，
Q171,检查是是，
Q172,是是是是的，可以，是的，是的，可以，是的，是的，可以，是的，是的，可以，是的，是的，可以，
Q173,是是是是是，
Q174,是是是是是，
Q175,检查更换，
Q176,是是是的，
Q177,是是是是，
Q178,检查更换，
Q179,检查是的，
Q180,检查更换，
Q181,是是是是，
Q182,是是是是的，
Q183,检查更换，
Q184,检查更换，
Q185,是是是是是的，是的，是的，是的，是的，是的，是的，是的，是的，是的，是的，是的，
Q186,是是是，可以，
Q187,检查更换，
Q188,检查是是，
Q189,是是是，
Q190,检查更换，
Q191,是是是是是，
Q192,是是是是，
Q193,检查更换，
Q194,是是是，
Q195,是是是是，
Q196,是是是是，
Q197,检查更换，
Q198,检查更换，
Q199,是是是，
Q200,是是是的，
Q201,检查更换，
Q202,检查是是，
Q203,是是是是是是的，
Q204,是是是是的，
Q205,是是是，
Q206,检查更换，
Q207,是是是的，
Q208,是是是的，
Q209,是是是是，
Q210,检查是是，可以
Q211,检查更换，
Q212,是是是是的，
Q213,是是是是的，
Q214,检查更换，
Q215,检查是的，
Q216,是是是是的，
Q217,检查是是，
Q218,是是是是的，
Q219,检查更换，
Q220,是是是的，
Q221,是是是是，
Q222,是是是是的，是的，是的，是的，可以，是的，是的，是的，是的，可以，是的，是的，是的，
Q223,是是是的，
Q224,检查更换，
Q225,是是是是是的，可以，是的，
Q226,是是是是，
Q227,检查更换，
Q228,检查更换，
Q229,是是是是是，
Q230,是是是是，
Q231,检查是是的，
Q232,是是是的，可以，是的，可以，是的，可以，是的，可以，是的，可以，是的，可以，是的，可以，是的，
Q233,检查更换，
Q234,是是是是是，
Q235,检查是是，
Q236,是是是是的，可以，是的，是的，可以，是的，是的，可以，是的，是的，可以，是的，是的，可以，
Q237,是是是是是，
Q238,是是是是是，
Q239,检查更换，
Q240,是是是的，
Q241,是是是是，
Q242,检查更换，
Q243,检查是的，
Q244,检查更换，
Q245,是是是是，
Q246,是是是是的，
Q247,检查更换，
Q248,检查更换，
Q249,是是是是是的，是的，是的，是的，是的，是的，是的，是的，是的，是的，是的，是的，
Q250,是是是，可以，
Q251,检查更换，
Q252,检查是是，
Q253,是是是，
Q254,检查更换，
Q255,是是是是是，
Q256,是是是是，
Q257,检查更换，
Q258,是是是，
Q259,是是是是，
Q260,是是是是，
Q261,检查更换，
Q262,检查更换，
Q263,是是是，
Q264,是是是的，
Q265,检查更换，
Q266,检查是是，
Q267,是是是是是是的，
Q268,是是是是的，
Q269,是是是，
Q270,检查更换，
Q271,是是是的，
Q272,是是是的，
Q273,是是是是，
Q274,检查是是，可以
Q275,检查更换，
Q276,是是是是的，
Q277,是是是是的，
Q278,检查更换，
Q279,检查是的，
Q280,是是是是的，
Q281,检查是是，
Q282,是是是是的，
Q283,检查更换，
Q284,是是是的，
Q285,是是是是，
Q286,是是是是的，是的，是的，是的，可以，是的，是的，是的，是的，可以，是的，是的，是的，
Q287,是是是的，
Q288,检查更换，
Q289,是是是是是的，可以，是的，
Q290,是是是是，
Q291,检查更换，
Q292,检查更换，
Q293,是是是是是，
Q294,是是是是，
Q295,检查是是的，
Q296,是是是的，可以，是的，可以，是的，可以，是的，可以，是的，可以，是的，可以，是的，可以，是的，
Q297,检查更换，
Q298,是是是是是，
Q299,检查是是，
Q300,是是是是的，可以，是的，是的，可以，是的，是的，可以，是的，是的，可以，是的，是的，可以，
Q301,是是是是是，
Q302,是是是是是，
Q303,检查更换，
Q304,是是是的，
Q305,是是是是，
Q306,检查更换，
Q307,检查是的，
Q308,检查更换，
Q309,是是是是，
Q310,是是是是的，
Q311,检查更换，
Q312,检查更换，
Q313,是是是是是的，是的，是的，是的，是的，是的，是的，是的，是的，是的，是的，是的，
Q314,是是是，可以，
Q315,检查更换，
Q316,检查是是，
Q317,是是是，
Q318,检查更换，
Q319,是是是是是，
Q320,是是是是，
Q321,检查更换，
Q322,是是是，
Q323,是是是是，
Q324,是是是是，
Q325,检查更换，
Q326,检查更换，
Q327,是是是，
Q328,是是是的，
Q329,检查更换，
Q330,检查是是，
Q331,是是是是是是的，
Q332,是是是是的，
Q333,是是是，
Q334,检查更换，
Q335,是是是的，
Q336,是是是的，
Q337,是是是是，
Q338,检查是是，可以
Q339,检查更换，
Q340,是是是是的，
Q341,是是是是的，
Q342,检查更换，
Q343,检查是的，
Q344,是是是是的，
Q345,检查是是，
Q346,是是是是的，
Q347,检查更换，
Q348,是是是的，
Q349,是是是是，
Q350,是是是是的，是的，是的，是的，可以，是的，是的，是的，是的，可以，是的，是的，是的，
Q351,是是是的，
Q352,检查更换，
Q353,是是是是是的，可以，是的，
Q354,是是是是，
Q355,检查更换，
Q356,检查更换，
Q357,是是是是是，
Q358,是是是是，
Q359,检查是是的，
Q360,是是是的，可以，是的，可以，是的，可以，是的，可以，是的，可以，是的，可以，是的，可以，是的，
Q361,检查更换，
Q362,是是是是是，
Q363,检查是是，
Q364,是是是是的，可以，是的，是的，可以，是的，是的，可以，是的，是的，可以，是的，是的，可以，
Q365,是是是是是，
Q366,是是是是是，
Q367,检查更换，
Q368,是是是的，
Q369,是是是是，
Q370,检查更换，
Q371,检查是的，
Q372,检查更换，
Q373,是是是是，
Q374,是是是是的，
Q375,检查更换，
Q376,检查更换，
